leaidC	newname	nyt_abbrev	ses	totavg	mnav3poolgcs	mnav8poolgcs	mngrdpoolgcs	stfips	countyid	inc50all	growth_pctile_for_subgroup	lat	lon
0803330	Delta County Joint District No.	Colo.	-0.0426	367	3.695	8.529	0.967	08	08029	49444	51	38.84	-107.823
1303480	Madison County	Ga.	-0.6275	367	3.243	7.757	0.903	13	13195	44204	30	34.128	-83.209
1740350	SD 45 Dupage County	Ill.	0.4979	367	3.3	8.077	0.955	17	17043	69374	47	41.879	-87.987
1907860	College Comm School District	Iowa	0.9803	367	3.946	8.502	0.911	19	19113	84830	33	41.876	-91.702
4026880	Sand Springs	Okla.	0.1404	367	3.279	7.618	0.868	40	40143	57441	22	36.124	-96.157
5308340	Stanwood-Camano School District	Wash.	0.9293	367	3.897	8.702	0.961	53	53061	83094	49	48.214	-122.372
0806240	Garfield School District No. Re-2	Colo.	0.563	366	3.657	7.72	0.813	08	08045	64285	12	39.589	-107.692
4106900	Three Rivers/Josephine County	Ore.	-0.6702	366	2.213	8.252	1.208	41	41033	47416	98	42.358	-123.535
4824930	Joshua	Tex.	0.4861	366	3.24	8.482	1.048	48	48251	61928	75	32.474	-97.386
0904590	Torrington School District	Conn.	-0.2308	365	3.453	7.84	0.877	09	09005	55393	24	41.835	-73.128
3304410	Londonderry School District	N.H.	1.4192	365	4.382	8.453	0.814	33	33015	104868	12	42.88	-71.387
3402250	Bridgeton	N.J.	-2.0215	365	1.491	6.291	0.96	34	34011	30288	49	39.428	-75.228
3904383	Cuyahoga Falls City	Ohio	0.3426	365	3.707	7.982	0.855	39	39153	56728	19	41.141	-81.48
3904699	New Albany-Plain Local	Ohio	1.7654	365	4.552	9.75	1.04	39	39049	117142	73	40.09	-82.812
5510060	Mukwonago School District	Wis.	1.3253	365	4.668	9.783	1.023	55	55133	93249	68	42.891	-88.329
1000170	Cape Henlopen School District	Del.	0.1379	364	3.692	9.116	1.085	10	10005	58499	84	38.754	-75.224
1200420	Desoto	Fla.	-1.0564	364	3.213	6.39	0.635	12	12027	33499	1	27.186	-81.809
1304620	Sumter County	Ga.	-1.7358	364	1.776	5.82	0.809	13	13261	31938	11	32.04	-84.197
