agency,date,id5,id4,metro,uza,uza_name,value,count,last,indexed,value_ave,last_rank,indexed_ave
Chicago Transit Authority,2011-01-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",24357175,120,19482386,0.010474601455119359,25442175.333333332,3,0
Chicago Transit Authority,2011-02-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",22814156,120,19482386,-0.053538631157557415,25334631,3,-0.0042270101484770395
Chicago Transit Authority,2011-03-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",27490595,120,19482386,0.14046674240297152,25386695.333333332,3,-0.0021806311478135276
Chicago Transit Authority,2011-04-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25503893,120,19482386,0.05804700728754497,25346416.583333332,3,-0.003763779973426251
Chicago Transit Authority,2011-05-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",26444011,120,19482386,0.09704846625685426,25406009.25,3,-0.0014215012222618117
Chicago Transit Authority,2011-06-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",26104841,120,19482386,0.08297775934706153,25463441.833333332,3,8.358758526492149e-4
Chicago Transit Authority,2011-07-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25089027,120,19482386,0.04083599837508789,25462162.333333332,3,7.855853415887903e-4
Chicago Transit Authority,2011-08-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",26758978,120,19482386,0.11011509462391711,25552762,3,0.004346588497949
Chicago Transit Authority,2011-09-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",27358226,120,19482386,0.13497532098320453,25601127.5,3,0.006247585537955791
Chicago Transit Authority,2011-10-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",27681086,120,19482386,0.1483693960278598,25639135.083333332,3,0.007741466577425582
Chicago Transit Authority,2011-11-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25820762,120,19482386,0.07119254146745235,25689725.666666668,3,0.009729920106674506
Chicago Transit Authority,2011-12-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",24950312,120,19482386,0.03508130866493686,25864421.833333332,3,0.016596320655285712
Chicago Transit Authority,2012-01-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",24678858,120,19482386,0.02381984782379254,25891228.75,3,0.01764996156120091
Chicago Transit Authority,2012-02-01,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25891780,120,19482386,0.07413877333736907,26147697.416666668,3,0.027730415111517193
