end,value,state,type
2000-01-08,298000,nat,h
2000-01-15,289000,nat,h
2000-01-22,284000,nat,h
2000-01-29,285000,nat,h
2000-02-05,312000,nat,h
2000-02-12,300000,nat,h
2000-02-19,283000,nat,h
2000-02-26,280000,nat,h
2000-03-04,286000,nat,h
2000-03-11,270000,nat,h
2000-03-18,271000,nat,h
2000-03-25,272000,nat,h
2000-04-01,266000,nat,h
2000-04-08,268000,nat,h
2000-04-15,259000,nat,h
2000-04-22,274000,nat,h
2000-04-29,291000,nat,h
2000-05-06,293000,nat,h
2000-05-13,276000,nat,h
2000-05-20,280000,nat,h
2000-05-27,280000,nat,h
2000-06-03,290000,nat,h
2000-06-10,284000,nat,h
2000-06-17,294000,nat,h
2000-06-24,296000,nat,h
2000-07-01,281000,nat,h
2000-07-08,293000,nat,h
2000-07-15,303000,nat,h
2000-07-22,300000,nat,h
2000-07-29,298000,nat,h
2000-08-05,306000,nat,h
2000-08-12,315000,nat,h
2000-08-19,318000,nat,h
2000-08-26,312000,nat,h
2000-09-02,301000,nat,h
2000-09-09,309000,nat,h
2000-09-16,311000,nat,h
2000-09-23,288000,nat,h
2000-09-30,292000,nat,h
2000-10-07,309000,nat,h
2000-10-14,299000,nat,h
2000-10-21,295000,nat,h
2000-10-28,301000,nat,h
2000-11-04,331000,nat,h
2000-11-11,318000,nat,h
2000-11-18,332000,nat,h
2000-11-25,356000,nat,h
2000-12-02,338000,nat,h
2000-12-09,321000,nat,h
2000-12-16,354000,nat,h
2000-12-23,364000,nat,h
2000-12-30,353000,nat,h
2001-01-06,337000,nat,h
2001-01-13,318000,nat,h
2001-01-20,343000,nat,h
2001-01-27,362000,nat,h
2001-02-03,376000,nat,h
2001-02-10,365000,nat,h
2001-02-17,358000,nat,h
2001-02-24,386000,nat,h
2001-03-03,384000,nat,h
2001-03-10,393000,nat,h
2001-03-17,393000,nat,h
2001-03-24,378000,nat,h
2001-03-31,388000,nat,h
2001-04-07,398000,nat,h
2001-04-14,383000,nat,h
2001-04-21,400000,nat,h
2001-04-28,406000,nat,h
2001-05-05,381000,nat,h
2001-05-12,390000,nat,h
2001-05-19,402000,nat,h
2001-05-26,405000,nat,h
2001-06-02,406000,nat,h
2001-06-09,411000,nat,h
