Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year
0,0.127,0.123,0.016,0.01,0.032,0.102,0.129,0.073,0.388,0,smoothed,2009
1,0.151,0.129,0.018,0.011,0.026,0.094,0.115,0.074,0.382,0,smoothed,2009
2,0.211,0.111,0.022,0.015,0.024,0.054,0.083,0.07,0.409,0,smoothed,2009
3,0.249,0.133,0.028,0.021,0.014,0.057,0.084,0.057,0.355,0,smoothed,2009
4,0.277,0.134,0.036,0.022,0.014,0.046,0.086,0.05,0.336,0,smoothed,2009
5,0.271,0.144,0.04,0.019,0.016,0.043,0.093,0.047,0.327,0,smoothed,2009
6,0.273,0.147,0.049,0.017,0.015,0.042,0.103,0.043,0.312,0,smoothed,2009
7,0.274,0.16,0.056,0.016,0.014,0.037,0.108,0.035,0.3,0,smoothed,2009
8,0.29,0.16,0.062,0.016,0.013,0.038,0.094,0.034,0.294,0,smoothed,2009
9,0.292,0.166,0.067,0.016,0.016,0.034,0.098,0.031,0.279,0,smoothed,2009
10,0.285,0.157,0.062,0.018,0.018,0.038,0.11,0.034,0.279,0,smoothed,2009
11,0.266,0.16,0.065,0.019,0.017,0.035,0.13,0.033,0.274,0,smoothed,2009
12,0.263,0.164,0.054,0.021,0.015,0.032,0.138,0.033,0.28,0,smoothed,2009
13,0.26,0.169,0.054,0.02,0.013,0.031,0.144,0.03,0.278,0,smoothed,2009
14,0.261,0.177,0.052,0.019,0.016,0.028,0.149,0.032,0.267,0,smoothed,2009
15,0.26,0.175,0.054,0.017,0.017,0.027,0.157,0.033,0.26,0,smoothed,2009
16,0.259,0.169,0.051,0.022,0.018,0.026,0.167,0.031,0.257,0,smoothed,2009
17,0.26,0.164,0.044,0.024,0.016,0.03,0.18,0.028,0.254,0,smoothed,2009
18,0.266,0.168,0.042,0.023,0.014,0.036,0.182,0.024,0.245,0,smoothed,2009
19,0.264,0.169,0.039,0.02,0.013,0.035,0.187,0.026,0.246,0,smoothed,2009
20,0.249,0.163,0.036,0.024,0.014,0.033,0.203,0.028,0.249,0,smoothed,2009
21,0.243,0.143,0.032,0.03,0.013,0.031,0.216,0.03,0.262,0,smoothed,2009
22,0.233,0.139,0.029,0.035,0.018,0.036,0.228,0.027,0.256,0,smoothed,2009
23,0.236,0.131,0.029,0.034,0.022,0.033,0.237,0.027,0.252,0,smoothed,2009
24,0.222,0.137,0.028,0.034,0.022,0.032,0.258,0.025,0.242,0,smoothed,2009
25,0.215,0.132,0.031,0.032,0.021,0.029,0.267,0.027,0.247,0,smoothed,2009
26,0.217,0.136,0.032,0.026,0.018,0.032,0.27,0.025,0.243,0,smoothed,2009
27,0.211,0.127,0.031,0.023,0.021,0.042,0.286,0.023,0.235,0,smoothed,2009
28,0.207,0.129,0.028,0.026,0.019,0.041,0.304,0.022,0.222,0,smoothed,2009
29,0.2,0.13,0.023,0.034,0.022,0.042,0.313,0.023,0.213,0,smoothed,2009
30,0.196,0.133,0.023,0.034,0.022,0.035,0.318,0.024,0.214,0,smoothed,2009
31,0.192,0.133,0.024,0.028,0.025,0.035,0.325,0.025,0.211,0,smoothed,2009
32,0.187,0.129,0.021,0.026,0.025,0.035,0.337,0.026,0.212,0,smoothed,2009
33,0.171,0.134,0.02,0.024,0.029,0.035,0.351,0.027,0.209,0,smoothed,2009
34,0.168,0.137,0.018,0.027,0.031,0.039,0.352,0.028,0.201,0,smoothed,2009
35,0.158,0.14,0.019,0.022,0.029,0.04,0.361,0.026,0.205,0,smoothed,2009
36,0.159,0.141,0.016,0.025,0.026,0.046,0.364,0.024,0.199,0,smoothed,2009
37,0.148,0.136,0.014,0.02,0.023,0.048,0.378,0.024,0.208,0,smoothed,2009
38,0.135,0.135,0.015,0.019,0.024,0.048,0.396,0.025,0.203,0,smoothed,2009
39,0.131,0.129,0.017,0.02,0.026,0.042,0.403,0.025,0.208,0,smoothed,2009
40,0.131,0.124,0.018,0.019,0.026,0.044,0.415,0.023,0.2,0,smoothed,2009
41,0.123,0.124,0.019,0.017,0.028,0.043,0.429,0.023,0.194,0,smoothed,2009
42,0.111,0.128,0.018,0.012,0.026,0.047,0.435,0.021,0.202,0,smoothed,2009
43,0.099,0.127,0.017,0.011,0.029,0.043,0.455,0.02,0.198,0,smoothed,2009
44,0.091,0.124,0.014,0.012,0.029,0.047,0.468,0.018,0.197,0,smoothed,2009
45,0.082,0.125,0.015,0.014,0.032,0.04,0.486,0.02,0.186,0,smoothed,2009
46,0.081,0.14,0.013,0.014,0.029,0.044,0.481,0.021,0.177,0,smoothed,2009
47,0.086,0.139,0.011,0.013,0.029,0.047,0.482,0.022,0.171,0,smoothed,2009
48,0.094,0.138,0.01,0.01,0.027,0.06,0.482,0.023,0.156,0,smoothed,2009
49,0.088,0.128,0.01,0.013,0.033,0.056,0.488,0.023,0.16,0,smoothed,2009
50,0.081,0.135,0.012,0.012,0.033,0.051,0.497,0.022,0.157,0,smoothed,2009
51,0.074,0.136,0.014,0.013,0.035,0.043,0.516,0.018,0.152,0,smoothed,2009
52,0.071,0.132,0.013,0.01,0.033,0.043,0.528,0.017,0.153,0,smoothed,2009
53,0.072,0.129,0.01,0.01,0.032,0.044,0.529,0.018,0.155,0,smoothed,2009
54,0.068,0.123,0.009,0.009,0.032,0.048,0.527,0.02,0.164,0,smoothed,2009
55,0.064,0.116,0.01,0.01,0.033,0.044,0.549,0.019,0.155,0,smoothed,2009
56,0.062,0.113,0.01,0.01,0.037,0.046,0.551,0.019,0.151,0,smoothed,2009
57,0.062,0.117,0.008,0.01,0.034,0.043,0.565,0.019,0.142,0,smoothed,2009
58,0.063,0.119,0.009,0.007,0.031,0.05,0.56,0.021,0.139,0,smoothed,2009
59,0.056,0.117,0.009,0.006,0.029,0.047,0.582,0.02,0.134,0,smoothed,2009
60,0.051,0.113,0.011,0.005,0.033,0.049,0.579,0.02,0.139,0,smoothed,2009
61,0.047,0.12,0.011,0.006,0.031,0.045,0.587,0.019,0.133,0,smoothed,2009
62,0.045,0.12,0.011,0.007,0.032,0.05,0.59,0.017,0.13,0,smoothed,2009
63,0.04,0.115,0.009,0.007,0.038,0.046,0.608,0.015,0.122,0,smoothed,2009
64,0.037,0.112,0.006,0.006,0.039,0.049,0.603,0.015,0.132,0,smoothed,2009
65,0.037,0.114,0.007,0.005,0.036,0.051,0.599,0.016,0.135,0,smoothed,2009
66,0.039,0.112,0.007,0.003,0.027,0.055,0.613,0.016,0.129,0,smoothed,2009
67,0.036,0.107,0.007,0.005,0.027,0.053,0.629,0.015,0.121,0,smoothed,2009
68,0.033,0.101,0.006,0.005,0.03,0.046,0.661,0.015,0.105,0,smoothed,2009
69,0.029,0.101,0.004,0.006,0.029,0.042,0.658,0.018,0.113,0,smoothed,2009
70,0.031,0.1,0.004,0.004,0.029,0.042,0.662,0.017,0.11,0,smoothed,2009
71,0.037,0.103,0.006,0.004,0.025,0.049,0.646,0.017,0.113,0,smoothed,2009
72,0.042,0.108,0.009,0.003,0.029,0.048,0.639,0.015,0.107,0,smoothed,2009
73,0.038,0.105,0.009,0.003,0.028,0.052,0.649,0.013,0.103,0,smoothed,2009
74,0.034,0.101,0.007,0.004,0.032,0.051,0.66,0.011,0.099,0,smoothed,2009
75,0.029,0.095,0.005,0.004,0.03,0.057,0.672,0.013,0.095,0,smoothed,2009
76,0.033,0.091,0.007,0.004,0.032,0.053,0.677,0.013,0.09,0,smoothed,2009
77,0.029,0.089,0.008,0.004,0.035,0.053,0.677,0.013,0.092,0,smoothed,2009
78,0.028,0.087,0.009,0.003,0.035,0.048,0.691,0.012,0.088,0,smoothed,2009
79,0.029,0.092,0.007,0.002,0.042,0.05,0.674,0.012,0.091,0,smoothed,2009
80,0.029,0.096,0.005,0.002,0.038,0.049,0.678,0.013,0.089,0,smoothed,2009
81,0.025,0.099,0.005,0.003,0.037,0.056,0.673,0.013,0.089,0,smoothed,2009
82,0.016,0.101,0.006,0.002,0.03,0.057,0.689,0.012,0.086,0,smoothed,2009
83,0.02,0.093,0.007,0.003,0.033,0.063,0.681,0.013,0.088,0,smoothed,2009
84,0.023,0.097,0.007,0.003,0.037,0.056,0.683,0.015,0.078,0,smoothed,2009
