Geo_FIPS,Geo_NAME,Geo_QName,pop_18_in_poverty
01001,Autauga County,"Autauga County, Alabama",3047
01003,Baldwin County,"Baldwin County, Alabama",6098
01005,Barbour County,"Barbour County, Alabama",2632
01007,Bibb County,"Bibb County, Alabama",1351
01009,Blount County,"Blount County, Alabama",2432
01011,Bullock County,"Bullock County, Alabama",1097
01013,Butler County,"Butler County, Alabama",1533
01015,Calhoun County,"Calhoun County, Alabama",6303
01017,Chambers County,"Chambers County, Alabama",1761
01019,Cherokee County,"Cherokee County, Alabama",795
01021,Chilton County,"Chilton County, Alabama",2347
01023,Choctaw County,"Choctaw County, Alabama",1001
01025,Clarke County,"Clarke County, Alabama",1408
01027,Clay County,"Clay County, Alabama",665
01029,Cleburne County,"Cleburne County, Alabama",884
01031,Coffee County,"Coffee County, Alabama",2927
01033,Colbert County,"Colbert County, Alabama",2415
01035,Conecuh County,"Conecuh County, Alabama",673
01037,Coosa County,"Coosa County, Alabama",404
01039,Covington County,"Covington County, Alabama",2246
01041,Crenshaw County,"Crenshaw County, Alabama",639
01043,Cullman County,"Cullman County, Alabama",3596
01045,Dale County,"Dale County, Alabama",3092
01047,Dallas County,"Dallas County, Alabama",4244
01049,DeKalb County,"DeKalb County, Alabama",5421
01051,Elmore County,"Elmore County, Alabama",2763
01053,Escambia County,"Escambia County, Alabama",2550
01055,Etowah County,"Etowah County, Alabama",6259
01057,Fayette County,"Fayette County, Alabama",942
01059,Franklin County,"Franklin County, Alabama",2722
01061,Geneva County,"Geneva County, Alabama",1879
01063,Greene County,"Greene County, Alabama",1023
01065,Hale County,"Hale County, Alabama",1254
01067,Henry County,"Henry County, Alabama",680
01069,Houston County,"Houston County, Alabama",6559
01071,Jackson County,"Jackson County, Alabama",2637
01073,Jefferson County,"Jefferson County, Alabama",34019
01075,Lamar County,"Lamar County, Alabama",1011
01077,Lauderdale County,"Lauderdale County, Alabama",3241
01079,Lawrence County,"Lawrence County, Alabama",1735
01081,Lee County,"Lee County, Alabama",6424
01083,Limestone County,"Limestone County, Alabama",4314
01085,Lowndes County,"Lowndes County, Alabama",862
01087,Macon County,"Macon County, Alabama",1150
01089,Madison County,"Madison County, Alabama",14183
01091,Marengo County,"Marengo County, Alabama",1346
01093,Marion County,"Marion County, Alabama",1455
01095,Marshall County,"Marshall County, Alabama",7658
01097,Mobile County,"Mobile County, Alabama",27569
01099,Monroe County,"Monroe County, Alabama",1650
01101,Montgomery County,"Montgomery County, Alabama",15921
01103,Morgan County,"Morgan County, Alabama",5582
01105,Perry County,"Perry County, Alabama",880
01107,Pickens County,"Pickens County, Alabama",1529
01109,Pike County,"Pike County, Alabama",2078
01111,Randolph County,"Randolph County, Alabama",1371
01113,Russell County,"Russell County, Alabama",4042
01115,St. Clair County,"St. Clair County, Alabama",2932
01117,Shelby County,"Shelby County, Alabama",4457
01119,Sumter County,"Sumter County, Alabama",1018
