filename,state_name,from_election_year,to_election_year,census_year
data/congressional-district-boundaries/Alabama_103_to_107.geojson,Alabama,1992,2000,1990
data/congressional-district-boundaries/Alabama_108_to_112.geojson,Alabama,2002,2010,2000
data/congressional-district-boundaries/Alabama_16_to_17.geojson,Alabama,1818,1820,1810
data/congressional-district-boundaries/Alabama_18_to_22.geojson,Alabama,1822,1830,1820
data/congressional-district-boundaries/Alabama_23_to_26.geojson,Alabama,1832,1838,1830
data/congressional-district-boundaries/Alabama_27_to_27.geojson,Alabama,1840,1840,1840
data/congressional-district-boundaries/Alabama_28_to_33.geojson,Alabama,1842,1852,1840
data/congressional-district-boundaries/Alabama_34_to_36.geojson,Alabama,1854,1858,1850
data/congressional-district-boundaries/Alabama_40_to_42.geojson,Alabama,1866,1870,1860
data/congressional-district-boundaries/Alabama_43_to_44.geojson,Alabama,1872,1874,1870
data/congressional-district-boundaries/Alabama_45_to_48.geojson,Alabama,1876,1882,1870
data/congressional-district-boundaries/Alabama_49_to_52.geojson,Alabama,1884,1890,1880
data/congressional-district-boundaries/Alabama_53_to_57.geojson,Alabama,1892,1900,1890
data/congressional-district-boundaries/Alabama_58_to_62.geojson,Alabama,1902,1910,1900
data/congressional-district-boundaries/Alabama_63_to_64.geojson,Alabama,1912,1914,1910
data/congressional-district-boundaries/Alabama_65_to_72.geojson,Alabama,1916,1930,1910
data/congressional-district-boundaries/Alabama_73_to_87.geojson,Alabama,1932,1960,1930
data/congressional-district-boundaries/Alabama_88_to_88.geojson,Alabama,1962,1962,1960
data/congressional-district-boundaries/Alabama_89_to_89.geojson,Alabama,1964,1964,1960
data/congressional-district-boundaries/Alabama_90_to_92.geojson,Alabama,1966,1970,1960
data/congressional-district-boundaries/Alabama_93_to_97.geojson,Alabama,1972,1980,1970
data/congressional-district-boundaries/Alabama_98_to_102.geojson,Alabama,1982,1990,1980
data/congressional-district-boundaries/Alaska_103_to_112.geojson,Alaska,1992,2010,1990
data/congressional-district-boundaries/Alaska_86_to_102.geojson,Alaska,1958,1990,1950
data/congressional-district-boundaries/Arizona_103_to_107.geojson,Arizona,1992,2000,1990
data/congressional-district-boundaries/Arizona_108_to_108.geojson,Arizona,2002,2002,2000
data/congressional-district-boundaries/Arizona_109_to_112.geojson,Arizona,2004,2010,2000
data/congressional-district-boundaries/Arizona_62_to_77.geojson,Arizona,1910,1940,1910
data/congressional-district-boundaries/Arizona_78_to_80.geojson,Arizona,1942,1946,1940
data/congressional-district-boundaries/Arizona_81_to_87.geojson,Arizona,1948,1960,1940
data/congressional-district-boundaries/Arizona_88_to_89.geojson,Arizona,1962,1964,1960
data/congressional-district-boundaries/Arizona_90_to_91.geojson,Arizona,1966,1968,1960
data/congressional-district-boundaries/Arizona_92_to_92.geojson,Arizona,1970,1970,1970
data/congressional-district-boundaries/Arizona_93_to_97.geojson,Arizona,1972,1980,1970
data/congressional-district-boundaries/Arizona_98_to_102.geojson,Arizona,1982,1990,1980
data/congressional-district-boundaries/Arkansas_103_to_107.geojson,Arkansas,1992,2000,1990
data/congressional-district-boundaries/Arkansas_108_to_112.geojson,Arkansas,2002,2010,2000
data/congressional-district-boundaries/Arkansas_24_to_32.geojson,Arkansas,1834,1850,1830
data/congressional-district-boundaries/Arkansas_33_to_36.geojson,Arkansas,1852,1858,1850
data/congressional-district-boundaries/Arkansas_40_to_40.geojson,Arkansas,1866,1866,1860
data/congressional-district-boundaries/Arkansas_41_to_42.geojson,Arkansas,1868,1870,1860
data/congressional-district-boundaries/Arkansas_43_to_43.geojson,Arkansas,1872,1872,1870
data/congressional-district-boundaries/Arkansas_44_to_44.geojson,Arkansas,1874,1874,1870
data/congressional-district-boundaries/Arkansas_45_to_46.geojson,Arkansas,1876,1878,1870
data/congressional-district-boundaries/Arkansas_47_to_47.geojson,Arkansas,1880,1880,1880
data/congressional-district-boundaries/Arkansas_48_to_48.geojson,Arkansas,1882,1882,1880
data/congressional-district-boundaries/Arkansas_49_to_52.geojson,Arkansas,1884,1890,1880
data/congressional-district-boundaries/Arkansas_53_to_57.geojson,Arkansas,1892,1900,1890
data/congressional-district-boundaries/Arkansas_58_to_82.geojson,Arkansas,1902,1950,1900
data/congressional-district-boundaries/Arkansas_83_to_87.geojson,Arkansas,1952,1960,1950
data/congressional-district-boundaries/Arkansas_88_to_89.geojson,Arkansas,1962,1964,1960
data/congressional-district-boundaries/Arkansas_90_to_92.geojson,Arkansas,1966,1970,1960
data/congressional-district-boundaries/Arkansas_93_to_97.geojson,Arkansas,1972,1980,1970
data/congressional-district-boundaries/Arkansas_98_to_102.geojson,Arkansas,1982,1990,1980
data/congressional-district-boundaries/California_103_to_107.geojson,California,1992,2000,1990
data/congressional-district-boundaries/California_108_to_112.geojson,California,2002,2010,2000
data/congressional-district-boundaries/California_31_to_36.geojson,California,1848,1858,1840
data/congressional-district-boundaries/California_37_to_38.geojson,California,1860,1862,1860
data/congressional-district-boundaries/California_39_to_39.geojson,California,1864,1864,1860
data/congressional-district-boundaries/California_40_to_42.geojson,California,1866,1870,1860
data/congressional-district-boundaries/California_43_to_47.geojson,California,1872,1880,1870
data/congressional-district-boundaries/California_48_to_48.geojson,California,1882,1882,1880
data/congressional-district-boundaries/California_49_to_52.geojson,California,1884,1890,1880
data/congressional-district-boundaries/California_53_to_57.geojson,California,1892,1900,1890
data/congressional-district-boundaries/California_58_to_62.geojson,California,1902,1910,1900
data/congressional-district-boundaries/California_63_to_72.geojson,California,1912,1930,1910
data/congressional-district-boundaries/California_73_to_77.geojson,California,1932,1940,1930
data/congressional-district-boundaries/California_78_to_82.geojson,California,1942,1950,1940
data/congressional-district-boundaries/California_83_to_87.geojson,California,1952,1960,1950
data/congressional-district-boundaries/California_88_to_90.geojson,California,1962,1966,1960
data/congressional-district-boundaries/California_91_to_92.geojson,California,1968,1970,1960
data/congressional-district-boundaries/California_93_to_93.geojson,California,1972,1972,1970
data/congressional-district-boundaries/California_94_to_97.geojson,California,1974,1980,1970
data/congressional-district-boundaries/California_98_to_98.geojson,California,1982,1982,1980
data/congressional-district-boundaries/California_99_to_102.geojson,California,1984,1990,1980
