route,rank_2020Q1,rank_2020Q2,rank_2020Q3,rank_2020Q4,rank_2021Q1
1,1,1,1,1,1
2,1,1,1,1,1
3,3,3,3,3,3
4,5,5,5,5,5
5,4,4,4,4,4
6,3,3,3,3,3
7,1,1,1,1,1
8,2,2,2,2,2
8A,5,5,5,5,5
9,5,5,5,5,5
X9,2,2,2,2,2
11,3,3,3,3,3
12,4,4,4,4,4
J14,3,3,3,3,3
15,5,5,5,5,5
18,3,3,3,3,3
20,3,3,3,3,3
21,4,4,4,4,4
22,3,3,3,3,3
24,1,1,1,1,1
26,3,3,3,3,3
28,3,3,3,3,3
29,2,2,2,2,2
30,3,3,3,3,3
34,4,4,4,4,4
35,2,2,2,2,2
36,4,4,4,4,4
37,1,1,1,1,1
39,3,3,3,3,3
43,5,5,5,5,5
44,3,3,3,3,3
47,5,5,5,5,5
48,1,1,1,1,1
49,4,4,4,4,4
49B,4,4,4,4,4
X49,2,2,2,2,2
50,2,2,2,2,2
51,3,3,3,3,3
52,2,2,2,2,2
52A,4,4,4,4,4
53,5,5,5,5,5
53A,2,2,2,2,2
54,5,5,5,5,5
54A,2,2,2,2,2
54B,5,5,5,5,5
55,3,3,3,3,3
55A,1,1,1,1,1
55N,2,2,2,2,2
56,3,3,3,3,3
57,3,3,3,3,3
59,4,4,4,4,4
60,2,2,2,2,2
62,2,2,2,2,2
62H,4,4,4,4,4
63,4,4,4,4,4
63W,4,4,4,4,4
65,1,1,1,1,1
66,2,2,2,2,2
67,4,4,4,4,4
68,2,2,2,2,2
70,3,3,3,3,3
71,5,5,5,5,5
72,3,3,3,3,3
73,2,2,2,2,2
74,3,3,3,3,3
75,5,5,5,5,5
76,3,3,3,3,3
77,2,2,2,2,2
78,2,2,2,2,2
79,5,5,5,5,5
80,3,3,3,3,3
81,4,4,4,4,4
81W,3,3,3,3,3
82,3,3,3,3,3
84,2,2,2,2,2
85,5,5,5,5,5
85A,5,5,5,5,5
86,1,1,1,1,1
87,4,4,4,4,4
88,2,2,2,2,2
90,5,5,5,5,5
91,4,4,4,4,4
92,4,4,4,4,4
93,4,4,4,4,4
94,5,5,5,5,5
96,3,3,3,3,3
97,4,4,4,4,4
X98,5,5,5,5,5
100,3,3,3,3,3
103,3,3,3,3,3
106,2,2,2,2,2
108,2,2,2,2,2
111,4,4,4,4,4
111A,5,5,5,5,5
112,2,2,2,2,2
115,3,3,3,3,3
119,5,5,5,5,5
120,1,1,1,1,1
121,1,1,1,1,1
124,1,1,1,1,1
125,1,1,1,1,1
126,2,2,2,2,2
134,1,1,1,1,1
135,1,1,1,1,1
136,1,1,1,1,1
143,1,1,1,1,1
146,2,2,2,2,2
147,3,3,3,3,3
148,1,1,1,1,1
151,2,2,2,2,2
152,2,2,2,2,2
155,4,4,4,4,4
156,1,1,1,1,1
157,1,1,1,1,1
165,5,5,5,5,5
169,5,5,5,5,5
171,1,1,1,1,1
172,1,1,1,1,1
192,1,1,1,1,1
201,2,2,2,2,2
206,1,1,1,1,1
